2022-01-27 08:39:32,357 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:39:32,357 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:39:32,358 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:39:32,359 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:39:32,359 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:39:32,361 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:39:32,361 | DEBUG | imdb_api.py | get_genre | Searching name: Death to 2021
2022-01-27 08:39:32,362 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:39:32,362 | DEBUG | imdb_api.py | get_genre | A new IMDB instance created
2022-01-27 08:39:32,364 | DEBUG | imdb_api.py | get_genre | Searching name: Superstore
2022-01-27 08:39:41,364 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:41,365 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:42,167 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:42,167 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:42,396 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:42,396 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:42,600 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:42,600 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:42,764 | DEBUG | imdb_api.py | get_genre | Search ended
2022-01-27 08:39:42,764 | DEBUG | imdb_api.py | get_genre | Getting Title using ID
2022-01-27 08:39:52,153 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:53,750 | DEBUG | imdb_api.py | get_genre | Title found: Death to 2021
2022-01-27 08:39:57,817 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:59,465 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:59,917 | DEBUG | imdb_api.py | get_genre | Title found: Superstore
2022-01-27 08:39:59,918 | INFO | load.py | load_data | Out of context manager now
2022-01-27 08:39:59,918 | INFO | load.py | load_data | Executing INSERT queries now
2022-01-27 08:39:59,919 | DEBUG | load.py | load_data | ('2021-12-24 00:00:00', 'Netflix', 'TV Series', 'Superstore', ' Season 6', 'Deep Cleaning', 'Comedy', nan) added
2022-01-27 08:39:59,919 | DEBUG | load.py | load_data | ('2021-12-24 00:00:00', 'Netflix', 'TV Series', 'Superstore', ' Season 6', 'Customer Satisfaction', 'Comedy', nan) added
2022-01-27 08:39:59,919 | DEBUG | load.py | load_data | ('2021-12-29 00:00:00', 'Netflix', 'Movie', 'Death to 2021', nan, nan, 'Comedy', nan) added
2022-01-27 08:39:59,919 | DEBUG | load.py | load_data | ('2021-12-24 00:00:00', 'Netflix', 'TV Series', 'Superstore', ' Season 6', 'Lowell Anderson', 'Comedy', nan) added
2022-01-27 08:39:59,920 | DEBUG | load.py | load_data | ('2021-12-29 00:00:00', 'Netflix', 'TV Series', 'Superstore', ' Season 6', 'All Sales Final', 'Comedy', nan) added
2022-01-27 08:39:59,920 | INFO | load.py | load_data | 5 items added in the database
